uid,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
4594,31,66,66,152,63,61,78,79,152,297
3505,11,22,27,48,66,75,72,133,238,353
9270,32,60,77,151,75,90,65,97,163,235
5914,6,29,37,155,89,98,82,141,159,250
15670,32,52,70,175,78,79,70,100,146,243
7941,10,15,34,41,72,74,93,135,206,366
13714,33,36,46,178,94,86,80,89,136,267
1211,36,82,48,171,94,71,73,96,137,237
17220,6,15,34,51,82,109,97,109,169,374
17273,14,38,50,45,87,97,89,120,169,336
8555,52,61,76,164,76,73,62,88,151,242
11256,4,16,33,30,74,80,70,114,192,433
10832,43,49,76,53,80,59,83,125,179,298
13467,33,58,63,64,75,54,84,141,182,291
15994,7,35,48,54,69,87,80,137,189,340
1280,4,36,59,44,72,73,81,135,180,362
9173,56,39,60,50,78,61,73,105,186,337
3559,12,27,34,53,50,80,108,139,211,331
10441,62,50,57,44,71,63,79,104,176,339
11885,24,39,55,176,69,80,71,99,164,268
916,20,40,56,42,65,101,87,141,182,311
5122,88,78,67,53,86,64,71,120,146,272
17178,34,41,55,53,68,97,92,119,192,294
3069,56,49,54,166,83,84,74,100,136,243
1748,112,73,79,139,75,61,50,82,133,241
15322,34,64,69,59,78,70,77,102,152,340
5849,57,37,53,157,62,68,66,109,159,277
4422,114,59,34,34,45,49,53,73,192,392
7037,47,59,51,171,74,88,93,107,129,226
2035,11,27,64,168,90,87,103,101,153,241
12628,23,54,72,57,84,70,89,122,179,295
1135,54,45,49,150,64,76,78,86,159,284
4135,35,42,55,61,80,79,88,119,183,303
12967,84,52,75,56,80,89,86,101,150,272
8479,13,48,64,185,103,76,87,87,142,240
6337,83,49,57,43,69,72,89,117,166,300
2483,10,22,50,42,66,77,100,142,203,334
3592,30,14,12,22,28,54,65,144,271,405
10646,65,35,34,39,67,75,76,86,161,407
2313,29,33,53,39,61,90,95,128,197,320
15667,14,51,47,40,78,82,94,126,188,325
5087,51,34,46,54,78,80,104,130,178,290
16552,24,48,58,50,68,70,80,130,192,325
3695,5,5,45,47,68,60,86,128,217,386
15866,22,36,49,165,97,86,76,108,156,250
19544,44,74,62,151,79,74,61,94,136,270
17520,32,28,33,35,65,74,104,135,213,326
18127,75,29,25,138,68,60,83,101,164,302
1499,2,16,38,44,55,88,108,172,193,330
16952,26,37,52,46,79,91,85,126,163,340
2677,12,43,36,38,49,48,60,106,190,463
9997,27,50,55,176,85,76,87,98,121,270
7724,57,69,52,43,83,78,110,120,157,276
6854,25,52,42,152,82,83,87,114,160,248
5150,3,10,20,45,88,113,135,161,190,282
12596,64,75,57,164,82,58,72,92,142,239
15889,46,55,45,56,84,78,89,126,176,290
19507,9,14,44,61,89,102,111,143,175,298
12311,33,58,66,52,91,87,77,128,166,287
16405,17,34,54,55,72,81,100,113,208,311
17565,120,53,59,167,82,68,59,73,124,240
6609,78,43,40,162,75,83,70,91,144,259
2568,25,38,46,39,94,83,105,147,173,295
7705,27,59,63,69,80,75,100,133,174,265
11719,56,17,42,35,72,62,106,163,194,298
11998,7,31,49,46,83,75,89,125,211,330
2007,62,29,46,40,45,63,81,154,182,343
7595,48,37,48,44,61,64,86,125,170,362
12318,3,7,31,44,73,74,106,135,201,373
685,47,64,46,59,93,76,84,123,152,301
12614,25,28,58,54,82,83,119,127,184,285
4698,12,16,28,45,88,99,93,145,185,334
9902,25,40,54,41,75,76,76,107,185,366
13009,70,27,34,33,60,54,80,123,218,346
17267,22,26,66,174,85,73,71,103,172,253
81,26,41,53,66,90,74,89,149,201,256
6113,74,43,46,47,85,95,96,117,167,275
17000,10,37,65,60,80,81,92,120,187,314
4492,1,33,38,30,38,51,84,129,236,405
19079,24,48,59,150,81,89,93,116,148,237
1969,22,31,32,160,74,88,92,129,159,258
97,22,60,69,170,76,82,65,84,143,274
2981,10,28,63,66,92,106,93,136,182,270
12210,29,46,46,46,62,81,89,147,191,308
378,21,40,53,60,77,92,97,127,185,293
159,10,35,51,42,77,111,112,133,175,300
19751,32,39,75,50,77,76,75,128,189,304
2463,18,36,52,47,74,82,104,149,192,291
4312,12,47,26,33,85,78,87,151,208,318
5155,13,44,68,167,93,78,89,113,147,233
8439,9,31,44,52,77,77,104,146,192,314
19887,12,44,77,178,87,77,87,107,141,235
3831,26,36,53,156,69,64,89,121,150,281
11249,103,39,38,151,78,81,67,86,146,256
8431,81,72,63,52,80,83,76,111,144,283
10596,8,28,56,40,78,79,115,132,212,298
18036,11,35,32,41,62,51,48,82,187,496
5586,30,53,58,48,83,89,95,124,173,292
17947,10,20,36,147,51,63,76,110,178,355
4245,42,70,53,157,67,68,75,99,146,268
2459,44,69,74,60,90,61,78,111,172,286
9847,20,44,59,36,65,85,96,142,200,298
15236,100,21,31,51,93,88,91,115,177,278
10610,15,33,42,38,60,62,94,151,217,333
18447,40,44,47,156,59,88,74,106,162,269
12739,78,49,63,145,78,80,62,92,134,264
1441,80,75,70,159,84,72,62,81,123,239
14130,56,83,50,147,52,71,71,89,149,277
17478,5,5,14,51,87,102,132,138,206,307
5292,73,79,73,161,77,66,57,95,129,235
3578,13,22,48,28,75,72,93,136,208,350
16649,25,31,36,33,55,73,101,146,213,332
17435,18,26,67,60,94,97,84,119,176,304
1510,22,27,62,49,61,60,90,128,197,349
8556,30,57,66,53,75,90,98,135,161,280
13148,23,31,60,52,96,72,104,120,190,297
6118,14,47,71,53,101,84,90,138,176,271
12297,42,59,34,39,77,73,93,118,192,318
1159,34,35,37,38,66,90,95,144,195,311
1981,5,36,49,71,101,59,85,103,174,363
7120,6,19,47,53,78,57,58,119,212,397
17774,38,40,65,147,72,88,75,90,158,272
3021,67,50,38,34,69,70,63,104,181,369
17743,29,58,67,55,97,91,84,124,157,283
17392,62,76,86,62,77,73,70,101,171,267
13611,25,52,56,44,73,78,89,107,184,337
11629,27,51,70,60,86,76,85,118,190,282
6422,19,46,61,174,94,76,86,107,148,234
2000,4,14,38,43,65,80,102,149,225,326
8663,22,28,43,49,56,80,97,127,198,345
14870,7,33,49,41,61,95,101,141,201,317
17154,10,22,40,42,64,71,104,137,202,354
9615,34,57,60,171,71,79,91,97,144,241
1475,13,39,30,52,55,65,72,132,217,370
2654,19,25,37,164,57,60,83,114,183,303
14415,38,64,68,64,70,82,96,116,143,304
2957,13,24,49,44,92,113,129,144,169,268
1279,18,25,45,143,62,56,80,112,196,308
10932,75,58,52,152,79,64,69,102,141,253
10829,57,56,44,158,74,62,65,99,148,282
14806,3,22,42,64,74,77,104,128,213,319
1526,24,36,65,43,86,81,121,138,146,305
2520,43,49,65,173,79,69,75,114,153,225
2570,1,19,37,35,43,74,126,135,231,344
18918,38,33,31,23,42,54,75,132,222,395
19423,33,21,43,43,85,70,77,119,173,381
9098,26,42,42,36,69,99,103,117,180,331
6599,59,62,54,60,74,80,88,116,162,290
200,46,44,29,43,57,45,62,116,161,442
14016,15,42,61,163,68,60,68,105,177,286
11012,75,47,49,168,72,73,76,98,138,249
3701,41,68,79,147,75,72,66,97,150,250
4812,24,44,54,46,69,86,76,124,194,328
3063,24,49,79,189,86,87,82,96,126,227
15665,69,63,84,51,75,71,47,96,152,337
13814,18,25,54,155,83,100,97,127,146,240
17366,1,32,44,78,86,91,115,153,170,275
3059,21,44,32,65,106,101,91,134,177,274
12219,4,24,36,54,50,66,110,133,189,380
7823,11,38,61,66,88,80,107,135,179,280
1192,7,41,43,62,78,102,81,110,188,334
12423,25,50,44,63,83,86,109,120,174,291
7287,15,31,43,159,99,93,84,120,157,244
17369,27,42,65,64,86,82,101,136,160,282
1551,28,61,57,66,81,91,84,126,155,296
13211,16,25,51,165,67,86,73,122,165,275
3119,26,54,53,52,92,75,78,111,173,331
16838,50,80,76,147,76,74,63,92,118,269
205,19,38,70,59,76,76,117,115,175,300
13458,9,28,56,64,93,90,99,142,177,288
16226,29,38,38,48,69,84,67,166,211,295
6127,19,26,27,46,71,79,107,142,184,344
1622,11,26,37,39,59,78,84,160,240,311
3092,1,19,36,43,70,94,82,149,195,356
5310,43,47,53,138,73,69,58,103,174,287
11617,43,49,52,164,58,72,77,104,159,267
12272,4,34,54,167,75,82,99,117,164,250
16210,10,29,32,40,73,108,90,138,198,328
7990,9,41,72,51,63,74,76,124,202,334
1918,0,14,35,46,68,89,101,138,208,346
16861,37,49,58,59,89,77,84,107,176,309
8695,9,34,40,39,75,73,98,142,212,324
9027,12,17,25,34,46,62,66,89,216,478
7376,1,19,70,153,70,88,110,124,171,239
16836,42,73,86,52,72,80,90,119,162,269
8386,9,33,60,67,67,91,85,122,197,315
16680,33,51,62,62,77,58,78,103,167,354
14917,27,42,63,47,81,64,79,127,211,304
7484,55,60,53,57,89,87,77,115,174,278
10522,42,28,16,22,21,49,63,91,183,530
16493,17,50,51,53,76,64,92,126,185,331
19628,10,14,40,30,71,78,101,145,170,387
4765,15,26,47,46,68,78,99,123,182,361
17562,14,27,56,32,51,90,115,150,192,318
16075,58,58,75,54,87,77,79,118,155,284
9907,0,14,46,48,55,56,64,127,184,451
17480,53,76,52,159,81,73,59,94,139,259
13976,1,23,36,40,47,55,78,110,175,480
15058,6,33,35,37,56,58,94,143,214,370
10703,8,55,50,50,81,69,91,115,205,322
6303,81,71,71,171,69,62,58,84,137,241
454,21,47,48,144,54,88,83,132,145,283
17517,139,33,48,49,70,86,92,106,164,258
197,18,17,29,53,56,68,102,160,208,334
8280,22,39,42,168,103,90,77,118,150,236
19798,56,71,66,164,79,62,63,104,131,249
2822,15,15,44,52,61,63,93,126,194,382
11523,20,25,81,53,78,69,77,135,194,313
11889,14,24,35,24,31,43,64,120,221,469
820,43,40,60,53,94,76,89,134,166,290
6194,7,39,72,54,85,83,101,136,165,304
5768,7,37,49,52,81,101,111,122,186,300
12066,34,24,39,34,76,73,110,153,186,316
7259,6,22,32,187,85,98,93,122,162,239
16731,52,60,86,161,74,78,66,75,141,252
9330,7,22,23,153,81,55,88,128,204,285
9748,28,38,44,156,88,74,82,111,157,267
6262,23,41,40,75,86,77,96,120,182,305
6720,14,23,42,52,75,71,95,121,217,335
18619,52,50,58,64,96,88,92,118,155,272
9165,30,27,33,53,93,93,74,127,193,322
1080,37,58,52,170,78,77,80,105,144,244
2778,11,33,43,51,92,97,119,124,173,302
14872,59,52,63,166,70,76,79,101,143,236
5585,35,48,60,167,101,81,78,101,140,234
9865,9,26,40,62,99,91,98,116,198,307
10802,25,57,65,60,87,76,85,129,185,276
15705,18,48,63,68,90,78,101,135,172,272
10529,39,36,38,57,93,78,105,125,179,295
5144,123,27,46,37,67,80,82,140,172,271
14586,2,10,42,37,60,47,81,138,206,424
8516,12,23,40,147,75,76,106,134,146,286
17286,18,36,76,43,94,90,91,136,180,281
6109,24,35,64,71,94,84,62,119,178,314
14605,11,33,52,144,54,51,78,132,196,294
18176,26,35,34,33,73,62,83,137,175,387
14832,29,50,63,61,90,87,86,134,167,278
2516,31,38,52,151,73,83,93,111,147,266
5694,24,31,32,33,47,61,86,147,216,368
703,16,23,47,52,66,59,77,118,217,370
9824,42,63,81,163,74,65,65,110,143,239
12865,22,40,63,74,61,87,78,134,193,293
17927,118,59,43,137,60,58,50,83,140,297
5455,67,65,69,171,86,73,60,95,127,232
16202,44,63,46,43,83,78,102,115,151,320
6967,24,48,69,175,89,77,80,101,140,242
13279,26,44,71,66,86,83,98,115,173,283
14845,17,38,56,53,72,63,78,109,204,355
10739,9,26,65,66,67,87,104,143,196,283
4468,16,39,52,180,93,77,74,130,142,242
15601,26,45,74,181,99,80,77,89,145,229
269,37,46,90,155,91,70,69,101,141,245
814,36,42,47,53,78,82,94,152,171,290
14632,2,23,33,31,66,55,98,137,199,402
17967,18,33,55,174,104,69,114,108,157,213
6423,26,52,53,39,58,70,82,143,195,327
6549,28,39,57,156,95,79,72,93,143,283
3461,30,32,91,56,75,68,109,147,166,271
3445,26,42,67,61,97,86,98,125,171,272
14015,20,32,26,144,60,62,68,119,193,321
5921,7,39,65,76,87,83,107,133,172,277
18431,41,47,61,53,86,75,84,108,199,291
14191,98,70,74,163,75,60,58,77,135,235
8564,31,40,56,39,93,85,104,125,181,291
13732,41,47,38,155,93,73,71,116,150,261
10329,27,45,70,167,66,71,94,99,140,266
1333,3,19,43,68,99,87,91,129,179,328
18674,3,15,54,55,80,95,91,126,183,344
17835,49,42,54,48,74,79,88,119,160,332
17068,7,24,70,184,93,85,90,109,141,243
14629,79,59,57,163,94,64,78,86,125,240
19949,16,42,58,46,72,81,90,120,194,326
18589,7,26,55,63,79,68,107,117,163,361
16370,8,41,67,70,72,62,101,136,183,306
4851,3,32,42,63,78,105,126,132,160,305
537,12,25,72,51,73,91,116,147,177,281
15882,35,54,43,47,69,75,80,115,198,329
4146,4,21,35,35,62,82,97,142,216,352
10405,48,46,55,48,75,96,91,105,180,301
8031,28,32,34,37,68,53,56,92,194,451
8403,20,40,71,55,81,81,106,140,175,276
6,20,30,50,61,60,80,101,131,207,306
14543,31,40,35,42,66,67,71,110,187,396
5278,17,29,53,66,82,104,85,127,195,287
4379,45,57,59,181,85,67,56,110,149,236
9166,32,39,41,153,82,62,89,118,157,272
14297,10,19,49,61,90,79,88,114,175,361
19105,4,21,40,59,83,99,122,141,175,302
19140,5,26,40,49,74,67,85,130,244,326
16387,6,21,44,44,80,116,98,137,177,323
2453,7,20,35,62,109,104,122,145,173,269
15776,26,50,68,159,75,94,68,119,155,231
18893,54,65,66,33,69,69,62,109,168,350
14280,3,11,35,45,49,74,89,123,192,425
3833,4,31,50,48,69,91,121,154,190,288
13240,40,59,70,160,87,72,65,104,140,248
2831,28,36,54,51,98,83,92,130,169,304
7623,2,16,31,181,95,105,80,111,147,278
15233,19,40,75,65,74,73,76,125,182,316
16127,31,28,46,39,82,79,92,128,180,340
3840,13,35,58,45,65,78,93,117,199,342
382,11,22,29,145,65,81,91,151,188,262
647,1,22,46,41,59,82,100,147,214,333
8017,38,36,47,151,71,69,65,110,167,291
16443,36,59,54,55,71,89,103,118,159,301
12005,14,22,66,75,97,70,90,139,193,279
12929,3,36,55,56,97,99,90,133,197,280
7767,9,36,47,154,89,94,79,108,169,261
2983,20,32,46,39,74,80,93,157,187,317
2821,35,25,35,48,74,89,86,116,172,365
14713,20,26,40,44,71,64,105,143,192,340
847,20,30,50,60,99,92,102,138,178,276
7826,17,40,47,188,80,81,76,117,174,225
3928,10,27,30,44,58,64,87,120,186,420
10304,8,31,63,73,101,89,121,122,166,272
13789,5,24,58,67,91,93,91,130,163,324
11673,15,35,45,155,94,83,89,128,148,253
17813,2,24,46,42,59,84,112,163,199,315
2136,19,24,43,187,84,88,101,127,133,239
3126,20,36,43,150,76,86,90,132,148,264
9291,9,23,42,64,121,96,87,101,181,322
1327,11,21,43,57,76,84,89,107,170,387
6978,11,43,37,37,70,98,100,154,192,303
4846,7,23,54,56,84,93,113,127,171,318
1935,7,20,76,58,86,68,106,147,187,291
8661,0,17,30,43,59,50,65,98,226,457
8080,26,56,45,62,85,81,83,126,193,288
19574,21,39,49,55,75,73,102,121,217,293
6420,12,37,42,50,63,77,93,111,226,334
6403,109,51,48,164,67,53,61,81,150,261
12436,89,43,56,45,72,56,69,116,166,333
2141,9,44,70,164,105,95,79,111,142,227
16770,35,35,55,50,71,87,91,124,182,315
7441,101,30,31,144,69,88,76,104,139,263
5597,23,70,63,161,77,75,68,103,156,249
12875,17,22,69,160,104,66,90,101,151,265
12986,15,38,68,63,99,81,86,152,174,269
18928,54,82,56,38,91,76,82,114,168,284
18577,7,22,40,154,64,69,86,123,164,317
257,40,23,44,40,61,72,102,153,198,312
15870,17,36,61,45,66,56,87,123,193,361
14869,91,39,29,136,54,46,63,107,156,324
8960,12,31,40,55,87,107,104,122,149,338
11774,14,34,47,44,83,72,75,134,209,333
3141,6,52,60,184,89,86,78,100,171,220
6006,37,44,44,54,76,93,121,129,171,276
18599,6,18,37,41,73,91,87,122,200,371
2855,18,36,68,179,87,78,86,105,153,235
11686,8,23,61,64,75,106,109,136,178,286
6365,38,53,66,151,93,79,89,105,136,235
15455,36,36,56,58,85,102,93,131,165,283
14677,5,19,38,36,71,77,107,147,209,337
168,10,23,62,59,93,98,107,130,181,283
17487,36,48,65,54,76,96,94,125,170,281
10903,7,36,47,167,82,79,91,128,138,271
12155,15,38,63,75,70,92,123,128,158,283
554,26,45,50,43,91,77,64,139,205,305
17332,2,16,38,51,63,69,102,137,242,326
18501,27,40,37,35,51,62,106,144,208,335
14971,84,39,42,59,104,91,83,119,156,268
13442,13,23,59,43,55,69,87,161,201,334
19355,0,9,33,141,36,81,111,104,178,353
8870,49,82,72,47,69,76,68,116,147,319
18264,25,48,51,43,81,79,88,120,186,324
15591,13,20,47,40,63,66,93,129,220,354
4437,15,49,57,162,81,78,85,114,151,253
9469,23,54,63,179,93,77,60,109,146,241
12798,46,54,80,63,85,77,74,113,154,299
2478,35,55,67,154,91,81,78,98,138,248
18651,66,77,57,138,63,66,77,101,139,261
9869,16,21,42,52,67,98,98,149,197,305
10172,9,25,31,35,70,58,68,106,198,446
15614,7,25,53,71,88,122,83,128,172,297
14127,10,42,43,69,74,83,89,138,202,296
9781,8,7,32,26,62,84,106,149,213,360
8501,34,45,42,53,70,79,93,143,182,304
18664,35,33,73,68,87,67,80,138,182,282
5567,38,42,78,48,86,82,79,127,178,287
19931,14,32,47,170,93,94,105,109,143,238
4702,1,11,35,165,69,72,106,135,167,284
19365,1,18,31,42,76,57,96,148,208,368
6957,6,7,20,38,75,66,87,100,172,476
5476,7,34,48,47,91,111,107,128,173,300
8262,27,44,47,165,64,66,92,127,146,267
4565,44,51,59,55,93,61,94,122,166,300
20000,11,27,37,143,44,66,74,129,184,330
9154,35,23,73,60,92,82,92,144,178,266
13192,21,28,38,46,74,65,103,152,214,304
3033,9,18,37,42,62,72,86,128,210,382
18526,13,32,57,162,84,80,91,123,161,242
4803,10,17,23,137,45,72,92,139,165,346
15319,75,50,45,149,68,63,72,96,154,273
3292,19,51,68,58,86,64,85,125,182,307
15877,41,57,59,51,86,68,96,122,171,294
14497,93,31,42,36,73,88,76,131,162,313
16374,10,8,31,46,60,61,88,165,222,356
15437,11,26,47,52,82,90,86,151,200,300
16356,80,63,65,166,68,63,64,87,149,240
11031,8,20,46,66,84,98,93,146,191,294
17099,77,68,64,45,92,59,71,113,169,287
4177,44,49,54,49,79,89,72,127,164,318
11950,49,53,54,72,75,64,97,107,194,280
12295,7,21,33,50,77,92,121,132,198,315
19658,3,5,22,34,61,60,83,144,216,419
9168,10,17,47,46,84,100,107,135,209,291
2024,25,33,35,44,78,94,115,129,197,295
3900,3,29,41,52,69,66,88,118,205,375
2566,13,44,56,163,90,68,81,108,147,275
19431,41,31,55,155,82,78,78,110,160,255
18492,33,59,73,160,84,76,73,105,147,235
17315,48,57,59,166,76,59,80,103,142,255
3255,28,66,55,58,78,79,81,139,195,266
2508,6,23,53,49,54,65,67,128,208,393
17779,85,53,53,157,104,81,67,89,125,231
12696,50,65,74,174,81,71,61,100,121,248
18847,6,21,52,46,82,123,122,140,176,278
4780,17,20,18,30,50,63,122,180,241,304
16014,32,37,45,168,106,105,81,116,137,218
19069,23,63,62,163,76,59,80,123,150,246
