uid,n_null,discret_null
20278,812,812
20279,33,33
20280,198,198
20281,179,179
20282,70,70
20283,49,49
20284,49,49
20285,58,58
20286,27,27
20287,105,105
20288,64,64
20289,39,39
20290,39,39
20291,52,52
20292,49,49
20293,75,75
20294,46,46
20295,43,43
20296,51,51
20297,38,38
20298,40,40
20299,58,58
20300,60,60
20301,37,37
20302,46,46
20303,33,33
20304,65,65
20305,59,59
20306,168,168
20307,1040,1040
20308,45,45
20309,46,46
20310,160,160
20311,59,59
20312,45,45
20313,70,70
20314,42,42
20315,58,58
20316,46,46
20317,249,249
20318,1015,1015
20319,65,65
20320,51,51
20321,45,45
20322,63,63
20323,41,41
20324,45,45
20325,37,37
20326,44,44
20327,53,53
20328,62,62
20329,41,41
20330,41,41
20331,57,57
20332,67,67
20333,56,56
20334,1018,1018
20335,64,64
20336,305,305
20337,54,54
20338,64,64
20339,36,36
20340,109,109
20341,42,42
20342,39,39
20343,62,62
20344,49,49
20345,37,37
20346,60,60
20347,54,54
20348,60,60
20349,42,42
20350,53,53
20351,39,39
20352,160,160
20353,181,181
20354,51,51
20355,56,56
20356,31,31
20357,52,52
20358,56,56
20359,48,48
20360,177,177
20361,28,28
20362,44,44
20363,41,41
20364,25,25
20365,53,53
20366,67,67
20367,46,46
20368,61,61
20369,64,64
20370,41,41
20371,51,51
20372,52,52
20373,54,54
20374,34,34
20375,75,75
20376,178,178
20377,168,168
20378,165,165
20379,57,57
20380,67,67
20381,70,70
20382,47,47
20383,38,38
20384,63,63
20385,63,63
20386,62,62
20387,62,62
20388,166,166
20389,184,184
20390,64,64
20391,32,32
20392,63,63
20393,155,155
20394,39,39
20395,163,163
20396,75,75
20397,42,42
20398,50,50
20399,62,62
20400,46,46
20401,63,63
20402,54,54
20403,41,41
20404,176,176
20405,40,40
20406,50,50
20407,40,40
20408,1035,1035
20409,64,64
20410,36,36
20411,1023,1023
20412,64,64
20413,59,59
20414,28,28
20415,40,40
20416,43,43
20417,1035,1035
20418,29,29
20419,58,58
20420,160,160
20421,50,50
20422,50,50
20423,48,48
20424,116,116
20425,46,46
20426,54,54
20427,27,27
20428,70,70
20429,64,64
20430,47,47
20431,1039,1039
20432,73,73
20433,47,47
20434,66,66
20435,44,44
20436,48,48
20437,43,43
20438,28,28
20439,157,157
20440,29,29
20441,45,45
20442,43,43
20443,716,716
20444,52,52
20445,34,34
20446,45,45
20447,160,160
20448,53,53
20449,59,59
20450,60,60
20451,44,44
20452,42,42
20453,49,49
20454,66,66
20455,58,58
20456,183,183
20457,48,48
20458,63,63
20459,34,34
20460,826,826
20461,51,51
20462,172,172
20463,165,165
20464,1018,1018
20465,68,68
20466,38,38
20467,61,61
20468,67,67
20469,38,38
20470,54,54
20471,128,128
20472,42,42
20473,62,62
20474,168,168
20475,37,37
20476,41,41
20477,57,57
20478,42,42
20479,40,40
20480,181,181
20481,66,66
20482,37,37
20483,55,55
20484,39,39
20485,52,52
20486,55,55
20487,41,41
20488,1034,1034
20489,56,56
20490,36,36
20491,46,46
20492,174,174
20493,64,64
20494,45,45
20495,43,43
20496,53,53
20497,53,53
20498,59,59
20499,37,37
20500,172,172
20501,56,56
20502,38,38
20503,277,277
20504,52,52
20505,128,128
20506,36,36
20507,56,56
20508,47,47
20509,169,169
20510,180,180
20511,114,114
20512,32,32
20513,60,60
20514,59,59
20515,178,178
20516,32,32
20517,29,29
20518,54,54
20519,46,46
20520,43,43
20521,125,125
20522,60,60
20523,29,29
20524,62,62
20525,46,46
20526,34,34
20527,44,44
20528,34,34
20529,61,61
20530,182,182
20531,53,53
20532,66,66
20533,162,162
20534,64,64
20535,45,45
20536,59,59
20537,50,50
20538,66,66
20539,238,238
20540,51,51
20541,41,41
20542,66,66
20543,44,44
20544,185,185
20545,829,829
20546,51,51
20547,77,77
20548,61,61
20549,38,38
20550,41,41
20551,157,157
20552,62,62
20553,53,53
20554,43,43
20555,40,40
20556,45,45
20557,262,262
20558,62,62
20559,40,40
20560,175,175
20561,38,38
20562,55,55
20563,41,41
20564,66,66
20565,49,49
20566,48,48
20567,65,65
20568,86,86
20569,146,146
20570,160,160
20571,40,40
20572,41,41
20573,110,110
20574,186,186
20575,66,66
20576,66,66
20577,65,65
20578,162,162
20579,49,49
20580,57,57
20581,53,53
20582,64,64
20583,50,50
20584,40,40
20585,48,48
20586,359,359
20587,38,38
20588,61,61
20589,69,69
20590,291,291
20591,46,46
20592,182,182
20593,49,49
20594,27,27
20595,69,69
20596,41,41
20597,49,49
20598,58,58
20599,54,54
20600,53,53
20601,46,46
20602,59,59
20603,53,53
20604,41,41
20605,1022,1022
20606,47,47
20607,70,70
20608,64,64
20609,38,38
20610,124,124
20611,65,65
20612,172,172
20613,66,66
20614,53,53
20615,40,40
20616,48,48
20617,51,51
20618,44,44
20619,57,57
20620,158,158
20621,45,45
20622,51,51
20623,65,65
20624,814,814
20625,44,44
20626,50,50
20627,48,48
20628,50,50
20629,35,35
20630,57,57
20631,55,55
20632,55,55
20633,42,42
20634,21,21
20635,47,47
20636,40,40
20637,27,27
20638,61,61
20639,1013,1013
20640,183,183
20641,175,175
20642,67,67
20643,65,65
20644,73,73
20645,40,40
20646,51,51
20647,63,63
20648,51,51
20649,42,42
20650,1036,1036
20651,1023,1023
20652,54,54
20653,180,180
20654,78,78
20655,49,49
20656,49,49
20657,39,39
20658,29,29
20659,63,63
20660,828,828
20661,47,47
20662,55,55
20663,48,48
20664,161,161
20665,35,35
20666,65,65
20667,1025,1025
20668,42,42
20669,41,41
20670,1023,1023
20671,56,56
20672,36,36
20673,55,55
20674,60,60
20675,134,134
20676,32,32
20677,45,45
20678,47,47
20679,54,54
20680,37,37
20681,159,159
20682,47,47
20683,139,139
20684,57,57
20685,68,68
20686,42,42
20687,158,158
20688,63,63
20689,45,45
20690,52,52
20691,68,68
20692,35,35
20693,48,48
20694,711,711
20695,40,40
20696,70,70
20697,68,68
20698,41,41
20699,32,32
20700,56,56
20701,56,56
20702,52,52
20703,62,62
20704,40,40
20705,51,51
20706,25,25
20707,63,63
20708,169,169
20709,176,176
20710,47,47
20711,67,67
20712,52,52
20713,31,31
20714,16,16
20715,58,58
20716,36,36
20717,113,113
20718,44,44
20719,166,166
20720,50,50
20721,173,173
20722,52,52
20723,45,45
20724,182,182
20725,54,54
20726,66,66
20727,55,55
20728,226,226
20729,130,130
20730,30,30
20731,41,41
20732,58,58
20733,69,69
20734,47,47
20735,47,47
20736,52,52
20737,165,165
20738,54,54
20739,1030,1030
20740,56,56
20741,67,67
20742,46,46
20743,58,58
20744,45,45
20745,51,51
20746,171,171
20747,49,49
20748,40,40
20749,238,238
20750,65,65
20751,55,55
20752,51,51
20753,58,58
20754,58,58
20755,187,187
20756,159,159
20757,34,34
20758,50,50
20759,58,58
20760,59,59
20761,33,33
20762,47,47
20763,89,89
20764,42,42
20765,156,156
20766,29,29
20767,51,51
20768,173,173
20769,55,55
20770,36,36
20771,44,44
20772,57,57
20773,56,56
20774,63,63
20775,33,33
20776,45,45
20777,48,48
20778,1063,1063
20779,1016,1016
20780,53,53
20781,158,158
20782,44,44
20783,62,62
20784,64,64
20785,44,44
20786,44,44
20787,62,62
20788,64,64
20789,48,48
20790,76,76
20791,47,47
20792,60,60
20793,43,43
20794,44,44
20795,178,178
20796,177,177
20797,67,67
20798,175,175
20799,35,35
20800,64,64
20801,162,162
20802,37,37
20803,41,41
20804,58,58
20805,63,63
20806,45,45
20807,64,64
20808,74,74
20809,174,174
20810,53,53
20811,63,63
20812,71,71
20813,64,64
20814,32,32
20815,55,55
20816,182,182
20817,169,169
20818,55,55
20819,48,48
20820,52,52
20821,152,152
20822,65,65
20823,54,54
20824,37,37
20825,47,47
20826,200,200
20827,167,167
20828,76,76
20829,65,65
20830,64,64
20831,49,49
20832,36,36
20833,44,44
20834,35,35
20835,167,167
20836,72,72
20837,40,40
20838,173,173
20839,36,36
20840,35,35
20841,42,42
20842,32,32
20843,42,42
20844,48,48
20845,49,49
20846,37,37
20847,45,45
20848,35,35
20849,64,64
20850,166,166
20851,56,56
20852,64,64
20853,184,184
20854,64,64
20855,48,48
20856,69,69
20857,65,65
20858,44,44
20859,47,47
20860,166,166
20861,57,57
20862,62,62
20863,52,52
20864,254,254
20865,182,182
20866,69,69
20867,70,70
20868,60,60
20869,69,69
20870,52,52
20871,46,46
20872,52,52
20873,48,48
20874,37,37
20875,164,164
20876,53,53
20877,36,36
20878,178,178
20879,38,38
20880,42,42
20881,61,61
20882,45,45
20883,52,52
20884,65,65
20885,49,49
20886,173,173
20887,55,55
20888,177,177
20889,46,46
20890,38,38
20891,33,33
20892,45,45
20893,53,53
20894,27,27
20895,55,55
20896,53,53
20897,65,65
20898,117,117
20899,51,51
20900,688,688
20901,47,47
20902,181,181
20903,248,248
20904,63,63
20905,61,61
20906,58,58
20907,157,157
20908,31,31
20909,162,162
20910,42,42
20911,27,27
20912,58,58
20913,167,167
20914,44,44
20915,64,64
20916,68,68
20917,60,60
20918,48,48
20919,43,43
20920,42,42
20921,51,51
20922,48,48
20923,180,180
20924,35,35
20925,45,45
20926,59,59
20927,167,167
20928,39,39
20929,67,67
20930,34,34
20931,170,170
20932,55,55
20933,67,67
20934,51,51
20935,50,50
20936,61,61
20937,49,49
20938,53,53
20939,65,65
20940,48,48
20941,1031,1031
20942,125,125
20943,55,55
20944,1014,1014
20945,159,159
20946,70,70
20947,31,31
20948,69,69
20949,66,66
20950,40,40
20951,37,37
20952,44,44
20953,54,54
20954,60,60
20955,168,168
20956,53,53
20957,67,67
20958,48,48
20959,888,888
20960,49,49
20961,49,49
20962,61,61
20963,37,37
20964,37,37
20965,46,46
20966,67,67
20967,173,173
20968,57,57
20969,50,50
20970,39,39
20971,65,65
20972,53,53
20973,1019,1019
20974,44,44
20975,56,56
20976,74,74
20977,56,56
20978,40,40
20979,46,46
20980,61,61
20981,48,48
20982,35,35
20983,1030,1030
20984,27,27
20985,49,49
20986,55,55
20987,166,166
20988,43,43
20989,55,55
20990,69,69
20991,48,48
20992,150,150
20993,169,169
20994,48,48
20995,817,817
20996,54,54
20997,49,49
20998,700,700
20999,51,51
21000,57,57
21001,172,172
21002,36,36
21003,41,41
21004,43,43
21005,33,33
21006,193,193
21007,706,706
21008,39,39
21009,42,42
21010,179,179
21011,177,177
21012,43,43
21013,38,38
21014,59,59
21015,51,51
21016,54,54
21017,178,178
21018,57,57
21019,36,36
21020,41,41
21021,156,156
21022,691,691
21023,47,47
21024,160,160
21025,56,56
21026,177,177
21027,270,270
21028,46,46
21029,45,45
21030,173,173
21031,63,63
21032,174,174
21033,29,29
21034,52,52
21035,62,62
21036,172,172
21037,67,67
21038,61,61
21039,41,41
21040,39,39
21041,824,824
21042,167,167
21043,47,47
21044,31,31
21045,32,32
21046,43,43
21047,69,69
21048,43,43
21049,716,716
21050,42,42
21051,162,162
21052,127,127
21053,171,171
21054,56,56
21055,248,248
21056,46,46
21057,47,47
21058,69,69
21059,27,27
21060,39,39
21061,42,42
21062,69,69
21063,45,45
21064,48,48
21065,33,33
21066,179,179
21067,47,47
21068,155,155
21069,49,49
21070,54,54
21071,64,64
21072,51,51
21073,54,54
21074,52,52
21075,47,47
21076,700,700
21077,36,36
21078,160,160
21079,151,151
21080,710,710
21081,43,43
21082,41,41
21083,163,163
21084,43,43
21085,68,68
21086,44,44
21087,40,40
21088,45,45
21089,32,32
21090,98,98
21091,47,47
21092,153,153
21093,38,38
21094,148,148
21095,63,63
21096,54,54
21097,64,64
21098,47,47
21099,50,50
21100,53,53
21101,59,59
21102,178,178
21103,70,70
21104,36,36
21105,162,162
21106,43,43
21107,51,51
21108,35,35
21109,55,55
21110,47,47
21111,48,48
21112,62,62
21113,47,47
21114,63,63
21115,170,170
21116,52,52
21117,163,163
21118,718,718
21119,67,67
21120,167,167
21121,29,29
21122,58,58
21123,42,42
21124,157,157
21125,35,35
21126,52,52
21127,41,41
21128,64,64
21129,153,153
21130,52,52
21131,162,162
21132,38,38
21133,167,167
21134,168,168
21135,49,49
21136,93,93
21137,169,169
21138,50,50
21139,74,74
21140,51,51
21141,35,35
21142,52,52
21143,248,248
21144,38,38
21145,61,61
21146,172,172
21147,69,69
21148,48,48
21149,53,53
21150,1036,1036
21151,165,165
21152,831,831
21153,162,162
21154,43,43
21155,42,42
21156,41,41
21157,181,181
21158,63,63
21159,33,33
21160,71,71
21161,51,51
21162,44,44
21163,48,48
21164,1040,1040
21165,60,60
21166,35,35
21167,28,28
21168,823,823
21169,59,59
21170,67,67
21171,1013,1013
21172,65,65
21173,41,41
21174,50,50
21175,33,33
21176,164,164
21177,73,73
21178,56,56
21179,225,225
21180,68,68
21181,51,51
21182,42,42
21183,37,37
21184,42,42
21185,50,50
21186,70,70
21187,172,172
21188,42,42
21189,158,158
21190,172,172
21191,49,49
21192,46,46
21193,30,30
21194,58,58
21195,63,63
21196,54,54
21197,37,37
21198,63,63
21199,54,54
21200,71,71
21201,52,52
21202,57,57
21203,52,52
21204,49,49
21205,69,69
21206,41,41
21207,60,60
21208,54,54
21209,1023,1023
21210,54,54
21211,47,47
21212,39,39
21213,46,46
21214,42,42
21215,53,53
21216,39,39
21217,43,43
21218,53,53
21219,187,187
21220,57,57
21221,45,45
21222,61,61
21223,45,45
21224,39,39
21225,49,49
21226,49,49
21227,56,56
21228,697,697
21229,66,66
21230,1033,1033
21231,40,40
21232,15,15
21233,48,48
21234,37,37
21235,63,63
21236,41,41
21237,33,33
21238,158,158
21239,62,62
21240,66,66
21241,47,47
21242,48,48
21243,153,153
21244,42,42
21245,158,158
21246,41,41
21247,697,697
21248,58,58
21249,168,168
21250,22,22
21251,171,171
21252,31,31
21253,46,46
21254,45,45
21255,45,45
21256,189,189
21257,51,51
21258,68,68
21259,42,42
21260,184,184
21261,47,47
21262,59,59
21263,43,43
21264,1024,1024
21265,64,64
21266,60,60
21267,48,48
21268,35,35
21269,61,61
21270,33,33
21271,38,38
21272,47,47
21273,31,31
21274,51,51
21275,145,145
21276,44,44
21277,47,47
21278,124,124
21279,56,56
21280,71,71
21281,60,60
21282,40,40
21283,23,23
21284,54,54
21285,56,56
21286,38,38
21287,41,41
21288,44,44
21289,51,51
21290,42,42
21291,49,49
21292,132,132
21293,41,41
21294,187,187
21295,42,42
21296,65,65
21297,64,64
21298,42,42
21299,177,177
21300,64,64
21301,171,171
21302,715,715
21303,61,61
21304,47,47
21305,137,137
21306,39,39
21307,61,61
21308,164,164
21309,174,174
21310,62,62
21311,18,18
21312,69,69
21313,51,51
21314,56,56
21315,66,66
21316,60,60
21317,50,50
21318,48,48
21319,51,51
21320,37,37
21321,61,61
21322,47,47
21323,33,33
21324,50,50
21325,365,365
21326,704,704
21327,176,176
21328,49,49
21329,174,174
21330,41,41
21331,51,51
21332,63,63
21333,33,33
21334,68,68
21335,43,43
21336,62,62
21337,32,32
21338,33,33
21339,129,129
21340,41,41
21341,164,164
21342,74,74
21343,163,163
21344,164,164
21345,701,701
21346,51,51
21347,40,40
21348,188,188
21349,40,40
21350,180,180
21351,58,58
21352,166,166
21353,61,61
21354,49,49
21355,51,51
21356,34,34
21357,54,54
21358,186,186
21359,52,52
21360,68,68
21361,48,48
21362,53,53
21363,178,178
21364,71,71
21365,49,49
21366,44,44
21367,52,52
21368,176,176
21369,287,287
21370,714,714
21371,58,58
21372,42,42
21373,90,90
21374,182,182
21375,50,50
21376,156,156
21377,43,43
21378,42,42
21379,31,31
21380,71,71
21381,176,176
21382,1018,1018
21383,19,19
21384,53,53
21385,19,19
21386,709,709
21387,53,53
21388,50,50
21389,176,176
21390,45,45
21391,46,46
21392,44,44
21393,36,36
21394,48,48
21395,42,42
21396,50,50
21397,58,58
21398,164,164
21399,44,44
21400,49,49
21401,62,62
21402,165,165
21403,28,28
21404,174,174
21405,167,167
21406,46,46
21407,39,39
21408,36,36
21409,62,62
21410,54,54
21411,36,36
21412,61,61
21413,50,50
21414,49,49
21415,24,24
21416,66,66
21417,27,27
21418,63,63
21419,714,714
21420,48,48
21421,59,59
21422,50,50
21423,184,184
21424,184,184
21425,69,69
21426,62,62
21427,44,44
21428,41,41
21429,38,38
21430,62,62
21431,63,63
21432,42,42
21433,44,44
21434,32,32
21435,47,47
21436,181,181
21437,48,48
21438,65,65
21439,67,67
21440,707,707
21441,50,50
21442,122,122
21443,40,40
21444,37,37
21445,156,156
21446,1039,1039
21447,121,121
21448,177,177
21449,38,38
21450,54,54
21451,179,179
21452,48,48
21453,41,41
21454,52,52
21455,1023,1023
21456,1016,1016
21457,32,32
21458,50,50
21459,59,59
21460,63,63
21461,42,42
21462,35,35
21463,51,51
21464,48,48
21465,47,47
21466,61,61
21467,258,258
21468,47,47
21469,42,42
21470,166,166
21471,39,39
21472,56,56
21473,44,44
21474,47,47
21475,50,50
21476,42,42
21477,36,36
21478,63,63
21479,45,45
21480,49,49
21481,71,71
21482,34,34
21483,199,199
21484,42,42
21485,48,48
21486,30,30
21487,58,58
21488,39,39
21489,62,62
21490,45,45
21491,183,183
21492,49,49
21493,40,40
21494,62,62
21495,51,51
21496,38,38
21497,1036,1036
21498,50,50
21499,53,53
21500,185,185
21501,36,36
21502,61,61
21503,41,41
21504,32,32
21505,55,55
21506,46,46
21507,64,64
21508,36,36
21509,39,39
21510,51,51
21511,42,42
21512,33,33
21513,58,58
21514,43,43
21515,42,42
21516,55,55
21517,49,49
21518,45,45
21519,51,51
21520,41,41
21521,172,172
21522,43,43
21523,53,53
21524,71,71
21525,52,52
21526,41,41
21527,53,53
21528,66,66
21529,70,70
21530,63,63
21531,42,42
21532,824,824
21533,51,51
21534,65,65
21535,30,30
21536,54,54
21537,45,45
21538,43,43
21539,154,154
21540,66,66
21541,61,61
21542,1025,1025
21543,181,181
21544,167,167
21545,179,179
21546,37,37
21547,51,51
21548,37,37
21549,59,59
21550,1023,1023
21551,65,65
21552,62,62
21553,43,43
21554,49,49
21555,48,48
21556,60,60
21557,36,36
21558,37,37
21559,54,54
21560,46,46
21561,64,64
21562,64,64
21563,62,62
21564,42,42
21565,41,41
21566,53,53
21567,68,68
21568,45,45
21569,41,41
21570,49,49
21571,36,36
21572,44,44
21573,160,160
21574,43,43
21575,28,28
21576,49,49
21577,50,50
21578,38,38
21579,174,174
21580,28,28
21581,48,48
21582,36,36
21583,38,38
21584,170,170
21585,63,63
21586,41,41
21587,46,46
21588,183,183
21589,47,47
21590,39,39
21591,231,231
21592,39,39
21593,161,161
21594,45,45
21595,51,51
21596,33,33
21597,43,43
21598,35,35
21599,48,48
21600,67,67
21601,1028,1028
21602,54,54
21603,65,65
21604,166,166
21605,41,41
21606,70,70
21607,1030,1030
21608,172,172
21609,59,59
21610,41,41
21611,55,55
21612,699,699
21613,57,57
21614,60,60
21615,171,171
21616,59,59
21617,46,46
21618,59,59
21619,40,40
21620,172,172
21621,46,46
21622,57,57
21623,57,57
21624,163,163
21625,41,41
21626,61,61
21627,74,74
21628,54,54
21629,54,54
21630,304,304
21631,46,46
21632,33,33
21633,61,61
21634,55,55
21635,62,62
21636,61,61
21637,38,38
21638,48,48
21639,21,21
21640,35,35
21641,54,54
21642,31,31
21643,49,49
21644,37,37
21645,56,56
21646,1045,1045
21647,164,164
21648,56,56
21649,256,256
21650,122,122
21651,61,61
21652,48,48
21653,121,121
21654,45,45
21655,177,177
21656,60,60
21657,54,54
21658,56,56
21659,55,55
21660,66,66
21661,68,68
21662,37,37
21663,156,156
21664,60,60
21665,51,51
21666,34,34
21667,45,45
21668,32,32
21669,61,61
21670,61,61
21671,46,46
21672,47,47
21673,185,185
21674,57,57
21675,122,122
21676,69,69
21677,65,65
21678,60,60
21679,36,36
21680,47,47
21681,1024,1024
21682,43,43
21683,224,224
21684,166,166
21685,68,68
21686,64,64
21687,56,56
21688,52,52
21689,168,168
21690,50,50
21691,39,39
21692,41,41
21693,176,176
21694,47,47
21695,49,49
21696,65,65
21697,49,49
21698,34,34
21699,44,44
21700,58,58
21701,29,29
21702,161,161
21703,64,64
21704,50,50
21705,46,46
21706,151,151
21707,164,164
21708,179,179
21709,39,39
21710,41,41
21711,54,54
21712,46,46
21713,38,38
21714,56,56
21715,35,35
21716,1035,1035
21717,46,46
21718,62,62
21719,54,54
21720,21,21
21721,74,74
21722,54,54
21723,35,35
21724,706,706
21725,139,139
21726,48,48
21727,59,59
21728,36,36
21729,247,247
21730,63,63
21731,47,47
21732,62,62
21733,55,55
21734,47,47
21735,176,176
21736,48,48
21737,63,63
21738,40,40
21739,48,48
21740,58,58
21741,56,56
21742,57,57
21743,48,48
21744,57,57
21745,57,57
21746,35,35
21747,58,58
21748,178,178
21749,38,38
21750,57,57
21751,1035,1035
21752,49,49
21753,63,63
21754,40,40
21755,75,75
21756,57,57
21757,1049,1049
21758,694,694
21759,64,64
21760,28,28
21761,32,32
21762,45,45
21763,37,37
21764,178,178
21765,42,42
21766,50,50
21767,49,49
21768,40,40
21769,68,68
21770,77,77
21771,811,811
21772,39,39
21773,165,165
21774,168,168
21775,245,245
21776,1031,1031
21777,41,41
21778,71,71
21779,191,191
21780,48,48
21781,44,44
21782,814,814
21783,171,171
21784,54,54
21785,99,99
21786,63,63
21787,47,47
21788,45,45
21789,41,41
21790,51,51
21791,33,33
21792,27,27
21793,158,158
21794,42,42
21795,45,45
21796,40,40
21797,160,160
21798,65,65
21799,55,55
21800,71,71
21801,66,66
21802,173,173
21803,176,176
21804,1031,1031
21805,65,65
21806,62,62
21807,229,229
21808,54,54
21809,65,65
21810,62,62
21811,62,62
21812,47,47
21813,60,60
21814,75,75
21815,58,58
21816,42,42
21817,47,47
21818,186,186
21819,65,65
21820,1025,1025
21821,60,60
21822,41,41
21823,58,58
21824,47,47
21825,50,50
21826,41,41
21827,53,53
21828,236,236
21829,63,63
21830,25,25
21831,46,46
21832,53,53
21833,47,47
21834,281,281
21835,172,172
21836,47,47
21837,62,62
21838,52,52
21839,40,40
21840,30,30
21841,697,697
21842,28,28
21843,46,46
21844,60,60
21845,63,63
21846,63,63
21847,44,44
21848,252,252
21849,58,58
21850,51,51
21851,154,154
21852,173,173
21853,50,50
21854,54,54
21855,62,62
21856,42,42
21857,38,38
21858,49,49
21859,62,62
21860,166,166
21861,181,181
21862,44,44
21863,54,54
21864,43,43
21865,50,50
21866,168,168
21867,1018,1018
21868,162,162
21869,33,33
21870,48,48
21871,157,157
21872,1033,1033
21873,45,45
21874,57,57
21875,58,58
21876,35,35
21877,44,44
21878,50,50
21879,28,28
21880,59,59
21881,169,169
21882,43,43
21883,38,38
21884,61,61
21885,51,51
21886,168,168
21887,45,45
21888,57,57
21889,40,40
21890,48,48
21891,54,54
21892,37,37
21893,149,149
21894,47,47
21895,65,65
21896,53,53
21897,62,62
21898,1024,1024
21899,35,35
21900,46,46
21901,65,65
21902,48,48
21903,48,48
21904,1102,1102
21905,48,48
21906,1036,1036
21907,39,39
21908,45,45
21909,35,35
21910,831,831
21911,41,41
21912,29,29
21913,50,50
21914,47,47
21915,54,54
21916,38,38
21917,54,54
21918,68,68
21919,179,179
21920,56,56
21921,68,68
21922,1022,1022
21923,68,68
21924,156,156
21925,35,35
21926,51,51
21927,44,44
21928,43,43
21929,257,257
21930,39,39
21931,45,45
21932,66,66
21933,34,34
21934,41,41
21935,44,44
21936,1033,1033
21937,65,65
21938,43,43
21939,46,46
21940,65,65
21941,69,69
21942,164,164
21943,171,171
21944,56,56
21945,60,60
21946,40,40
21947,62,62
21948,62,62
21949,41,41
21950,61,61
21951,174,174
21952,67,67
21953,59,59
21954,55,55
21955,53,53
21956,57,57
21957,170,170
21958,57,57
21959,59,59
21960,37,37
21961,50,50
21962,40,40
21963,171,171
21964,52,52
21965,63,63
21966,171,171
21967,49,49
21968,59,59
21969,54,54
21970,48,48
21971,68,68
21972,51,51
21973,1014,1014
21974,53,53
21975,163,163
21976,164,164
21977,1045,1045
21978,47,47
21979,68,68
