uid,n_null,discret_null
10493,43,43
7885,45,45
15088,31,31
19477,46,46
15914,59,59
11259,31,31
1361,49,49
3722,57,57
16285,37,37
9831,44,44
11081,53,53
14580,50,50
8056,50,50
18402,59,59
6304,27,27
17065,35,35
4988,172,172
2028,30,30
18090,61,61
15769,157,157
18252,46,46
13358,45,45
4594,154,154
3505,51,51
9270,175,175
5914,159,159
15670,152,152
7941,57,57
13714,163,163
1211,161,161
17220,39,39
17273,69,69
8555,181,181
11256,44,44
10832,64,64
13467,52,52
15994,48,48
1280,38,38
9173,57,57
3559,58,58
10441,59,59
11885,176,176
916,46,46
5122,47,47
17178,45,45
3069,165,165
1748,184,184
15322,50,50
5849,175,175
4422,37,37
7037,159,159
2035,171,171
12628,59,59
1135,166,166
4135,50,50
12967,53,53
8479,169,169
6337,51,51
2483,46,46
3592,38,38
10646,40,40
2313,48,48
15667,50,50
5087,38,38
16552,40,40
3695,53,53
15866,159,159
19544,161,161
17520,17,17
18127,158,158
1499,43,43
16952,49,49
2677,47,47
9997,152,152
7724,54,54
6854,166,166
5150,47,47
12596,163,163
15889,52,52
19507,42,42
12311,54,54
16405,62,62
17565,165,165
6609,171,171
2568,52,52
7705,55,55
11719,57,57
11998,34,34
2007,41,41
7595,57,57
12318,47,47
685,34,34
12614,65,65
4698,49,49
9902,53,53
13009,45,45
17267,160,160
81,54,54
6113,47,47
17000,57,57
4492,37,37
19079,161,161
1969,162,162
97,173,173
2981,67,67
12210,49,49
378,46,46
159,56,56
19751,64,64
2463,59,59
4312,43,43
5155,171,171
8439,40,40
19887,164,164
3831,153,153
11249,210,210
8431,52,52
10596,58,58
18036,37,37
5586,56,56
17947,157,157
4245,157,157
2459,48,48
9847,56,56
15236,108,108
10610,46,46
18447,152,152
12739,181,181
1441,160,160
14130,173,173
17478,53,53
5292,177,177
3578,34,34
16649,42,42
17435,59,59
1510,38,38
8556,43,43
13148,47,47
6118,62,62
12297,43,43
1159,52,52
1981,25,25
7120,57,57
17774,164,164
3021,49,49
17743,63,63
17392,59,59
13611,43,43
11629,64,64
6422,174,174
2000,44,44
8663,27,27
14870,62,62
17154,55,55
9615,164,164
1475,36,36
2654,152,152
14415,44,44
2957,38,38
1279,171,171
10932,166,166
10829,158,158
14806,50,50
1526,47,47
2520,167,167
2570,43,43
18918,56,56
19423,65,65
9098,43,43
6599,51,51
200,40,40
14016,167,167
11012,163,163
3701,160,160
4812,40,40
3063,167,167
15665,67,67
13814,158,158
17366,49,49
3059,51,51
12219,54,54
7823,46,46
1192,49,49
12423,37,37
7287,164,164
17369,53,53
1551,49,49
13211,155,155
3119,56,56
16838,153,153
205,47,47
13458,53,53
16226,62,62
6127,36,36
1622,52,52
3092,40,40
5310,158,158
11617,172,172
12272,167,167
16210,52,52
7990,46,46
1918,51,51
16861,47,47
8695,44,44
9027,41,41
7376,166,166
16836,58,58
8386,63,63
16680,62,62
14917,52,52
7484,55,55
10522,35,35
16493,59,59
19628,61,61
4765,39,39
17562,62,62
16075,56,56
9907,34,34
17480,155,155
13976,17,17
15058,42,42
10703,61,61
6303,175,175
454,157,157
17517,156,156
197,47,47
8280,163,163
19798,164,164
2822,51,51
11523,58,58
11889,59,59
820,51,51
6194,54,54
5768,60,60
12066,49,49
7259,153,153
16731,157,157
9330,152,152
9748,165,165
6262,32,32
6720,41,41
18619,53,53
9165,38,38
1080,161,161
2778,38,38
14872,168,168
5585,165,165
9865,32,32
10802,51,51
15705,40,40
10529,45,45
5144,164,164
14586,58,58
8516,152,152
17286,64,64
6109,60,60
14605,178,178
18176,32,32
14832,52,52
2516,163,163
5694,31,31
703,47,47
9824,161,161
12865,60,60
17927,161,161
5455,176,176
16202,37,37
6967,159,159
13279,66,66
14845,47,47
10739,53,53
4468,160,160
15601,166,166
269,167,167
814,46,46
14632,51,51
17967,179,179
6423,46,46
6549,170,170
3461,59,59
3445,50,50
14015,163,163
5921,62,62
18431,43,43
14191,187,187
8564,52,52
13732,160,160
10329,161,161
1333,48,48
18674,43,43
17835,41,41
17068,173,173
14629,165,165
19949,57,57
18589,37,37
16370,31,31
4851,42,42
537,53,53
15882,51,51
4146,43,43
10405,60,60
8031,38,38
8403,46,46
6,33,33
14543,40,40
5278,60,60
4379,169,169
9166,155,155
14297,50,50
19105,45,45
19140,49,49
16387,59,59
2453,43,43
15776,163,163
18893,52,52
14280,33,33
3833,30,30
13240,171,171
2831,45,45
7623,154,154
15233,42,42
16127,47,47
3840,40,40
382,161,161
647,41,41
8017,179,179
16443,52,52
12005,63,63
12929,52,52
7767,154,154
2983,34,34
2821,46,46
14713,58,58
847,57,57
7826,156,156
3928,42,42
10304,55,55
13789,35,35
11673,158,158
17813,50,50
2136,175,175
3126,153,153
9291,47,47
1327,38,38
6978,48,48
4846,37,37
1935,53,53
8661,26,26
8080,67,67
19574,41,41
6420,55,55
6403,162,162
12436,52,52
2141,177,177
16770,49,49
7441,159,159
5597,157,157
12875,169,169
12986,46,46
18928,46,46
18577,152,152
257,56,56
15870,54,54
14869,187,187
8960,53,53
11774,56,56
3141,160,160
6006,37,37
18599,52,52
2855,178,178
11686,36,36
6365,162,162
15455,43,43
14677,37,37
168,48,48
17487,33,33
10903,160,160
12155,47,47
554,45,45
17332,39,39
18501,43,43
14971,45,45
13442,77,77
19355,155,155
8870,28,28
18264,58,58
15591,56,56
4437,161,161
9469,166,166
12798,59,59
2478,182,182
18651,158,158
9869,37,37
10172,34,34
15614,48,48
14127,57,57
9781,42,42
8501,37,37
18664,56,56
5567,61,61
19931,171,171
4702,163,163
19365,38,38
6957,43,43
5476,52,52
8262,162,162
4565,53,53
20000,152,152
9154,58,58
13192,28,28
3033,41,41
18526,166,166
4803,155,155
15319,159,159
3292,47,47
15877,41,41
14497,40,40
16374,49,49
15437,46,46
16356,163,163
11031,43,43
17099,55,55
4177,55,55
11950,45,45
12295,47,47
19658,45,45
9168,48,48
2024,56,56
3900,48,48
2566,166,166
19431,169,169
18492,186,186
17315,159,159
3255,48,48
2508,25,25
17779,162,162
12696,167,167
18847,55,55
4780,47,47
16014,162,162
19069,177,177
8199,61,61
7513,44,44
16301,171,171
11560,45,45
18593,51,51
2702,53,53
17876,43,43
1766,58,58
6038,59,59
17509,38,38
16299,60,60
8324,48,48
7505,36,36
7783,232,232
8985,49,49
15633,43,43
18469,60,60
10722,45,45
16981,171,171
13050,51,51
15464,42,42
13237,152,152
17888,42,42
12514,50,50
12663,35,35
16079,36,36
4150,52,52
10728,66,66
15427,167,167
14944,57,57
7399,65,65
18669,180,180
10104,51,51
9299,41,41
14974,38,38
7136,51,51
4152,38,38
14184,42,42
18080,50,50
7746,46,46
19601,173,173
17470,38,38
11561,172,172
10862,48,48
11109,52,52
4469,50,50
17459,156,156
10336,54,54
17632,52,52
13748,167,167
666,61,61
12056,43,43
3009,63,63
16774,42,42
15106,42,42
7548,163,163
7800,51,51
17027,173,173
4308,36,36
4480,59,59
17060,56,56
19015,176,176
13827,163,163
3494,48,48
11585,31,31
18903,156,156
1753,36,36
12227,41,41
2408,42,42
2300,45,45
19187,44,44
7228,42,42
11094,160,160
8867,51,51
6380,39,39
6772,49,49
9204,58,58
5076,32,32
19120,162,162
17857,164,164
14304,161,161
1445,45,45
12092,60,60
8335,157,157
2798,55,55
10672,170,170
611,59,59
4103,61,61
11794,162,162
11887,44,44
7600,50,50
10837,49,49
14194,157,157
18259,49,49
391,61,61
10448,52,52
12552,50,50
19641,51,51
15940,46,46
17609,44,44
16049,56,56
17903,50,50
1887,47,47
12669,53,53
11164,59,59
14626,56,56
17715,41,41
15727,47,47
6334,173,173
15386,46,46
7027,63,63
12296,159,159
1740,37,37
15272,166,166
12095,64,64
15821,45,45
12243,40,40
4855,61,61
16611,176,176
15315,52,52
2678,51,51
14855,47,47
16865,165,165
3880,159,159
2100,39,39
9762,173,173
17540,45,45
19638,66,66
3198,55,55
4959,52,52
18719,34,34
2284,45,45
12172,56,56
11655,164,164
1585,56,56
776,62,62
6426,46,46
15064,163,163
9288,45,45
18811,46,46
7477,168,168
8350,45,45
9227,167,167
8163,48,48
2657,58,58
16399,169,169
5471,156,156
6014,51,51
16655,68,68
11500,35,35
17229,38,38
13284,165,165
1313,39,39
1977,67,67
17529,37,37
18200,54,54
10193,50,50
7185,160,160
1028,42,42
1756,44,44
13245,60,60
11955,61,61
10774,157,157
7510,54,54
13418,39,39
19756,151,151
6090,58,58
14187,152,152
19774,56,56
8535,42,42
10689,49,49
2871,57,57
14255,163,163
19789,173,173
11747,177,177
4005,65,65
9608,36,36
12756,41,41
3637,173,173
2207,29,29
192,61,61
17959,50,50
16994,50,50
9417,39,39
6041,51,51
3684,56,56
13341,171,171
13307,27,27
11530,47,47
9939,46,46
1873,42,42
1130,39,39
13293,53,53
19998,34,34
16378,39,39
6494,56,56
7759,61,61
9357,42,42
1442,173,173
3509,57,57
3518,56,56
9593,57,57
15458,43,43
17635,43,43
3950,44,44
15209,45,45
19828,46,46
16305,162,162
10959,47,47
18222,33,33
10679,183,183
15874,47,47
2791,54,54
1444,162,162
2107,56,56
18309,68,68
4999,165,165
18282,171,171
11295,49,49
7711,175,175
11956,65,65
19056,150,150
7356,44,44
11314,167,167
921,70,70
12673,41,41
18494,159,159
19880,151,151
15913,178,178
3236,154,154
3546,155,155
4726,59,59
2155,180,180
6471,161,161
13268,47,47
5021,63,63
15586,166,166
10194,51,51
6222,42,42
7487,38,38
11746,49,49
15653,58,58
7614,166,166
10631,43,43
13078,154,154
4490,47,47
7933,46,46
12350,52,52
10397,62,62
15006,173,173
2432,48,48
2929,172,172
11761,45,45
12888,47,47
10528,46,46
16977,153,153
2016,56,56
16181,45,45
4180,50,50
17792,38,38
659,39,39
15502,45,45
1320,45,45
13411,182,182
3465,47,47
8297,59,59
19956,63,63
10088,44,44
5799,43,43
9639,172,172
14431,48,48
9492,44,44
8827,47,47
18528,173,173
10778,65,65
13713,175,175
7072,54,54
12527,50,50
10937,167,167
6112,54,54
18460,53,53
10504,42,42
4484,47,47
17416,65,65
15399,179,179
17708,169,169
18021,168,168
10317,41,41
17453,169,169
6954,160,160
6239,41,41
16103,46,46
16229,48,48
5245,174,174
3810,48,48
16289,42,42
11496,51,51
11278,47,47
15906,157,157
3968,47,47
499,64,64
8410,34,34
11974,41,41
12880,156,156
11927,175,175
13129,44,44
16024,161,161
8570,41,41
619,153,153
13488,40,40
641,61,61
10177,51,51
10609,44,44
15411,56,56
8953,175,175
19054,40,40
7145,45,45
17308,161,161
6776,53,53
4710,171,171
13294,52,52
4920,158,158
7165,53,53
8277,32,32
14775,48,48
19373,59,59
1203,43,43
18959,43,43
18587,164,164
18868,165,165
15370,49,49
1560,153,153
4853,32,32
2304,162,162
15918,240,240
11811,154,154
15693,51,51
2712,159,159
13921,41,41
8882,172,172
6234,47,47
13349,157,157
11004,45,45
17928,180,180
8991,43,43
12975,50,50
19283,49,49
3064,151,151
14790,62,62
2714,57,57
6409,159,159
18748,160,160
12557,160,160
16914,163,163
6932,155,155
14135,46,46
5901,47,47
165,43,43
10063,62,62
12248,52,52
3046,155,155
3507,56,56
18676,40,40
19244,57,57
13105,40,40
14981,170,170
9524,52,52
10565,160,160
2704,47,47
8419,181,181
11361,47,47
7275,44,44
4501,38,38
3931,49,49
8756,59,59
2572,45,45
9459,44,44
5356,54,54
7840,178,178
13740,53,53
12534,152,152
8279,162,162
15249,154,154
8683,42,42
13777,51,51
18275,60,60
12446,91,91
10462,48,48
9220,44,44
5590,35,35
7581,46,46
7272,44,44
2358,66,66
10598,180,180
8065,57,57
6674,45,45
12220,169,169
5452,33,33
3901,170,170
17054,179,179
11977,170,170
2118,34,34
2783,48,48
2228,36,36
9323,159,159
4079,24,24
4051,55,55
11132,36,36
7796,62,62
674,167,167
13974,60,60
14374,174,174
279,28,28
9294,175,175
18436,47,47
2935,151,151
10461,48,48
5539,46,46
16575,163,163
5906,48,48
17062,172,172
18261,53,53
5738,55,55
16674,42,42
11605,171,171
2936,57,57
13867,175,175
39,63,63
11612,161,161
12055,50,50
16421,35,35
1621,39,39
11100,162,162
16713,48,48
15721,44,44
16483,46,46
6012,1050,1050
3909,44,44
17050,46,46
12494,62,62
7103,42,42
19625,45,45
1371,52,52
15842,41,41
5258,36,36
11023,38,38
16931,40,40
17719,50,50
18311,58,58
13651,49,49
11681,47,47
591,49,49
18201,22,22
13544,174,174
10094,38,38
13506,164,164
3681,182,182
9069,45,45
1167,164,164
10100,47,47
6633,42,42
5758,46,46
19877,161,161
7765,161,161
14975,53,53
16365,49,49
19926,168,168
2293,48,48
239,44,44
13127,46,46
8728,63,63
1247,162,162
10212,36,36
10602,45,45
6404,63,63
16171,42,42
18750,38,38
8735,57,57
10879,45,45
3819,64,64
5062,155,155
7793,152,152
9965,60,60
13854,64,64
17034,169,169
19532,180,180
15176,53,53
9107,38,38
10333,50,50
1861,43,43
13872,55,55
19235,47,47
9633,46,46
17953,61,61
62,36,36
11512,46,46
18271,41,41
16570,56,56
15235,34,34
19115,59,59
5786,47,47
19228,45,45
11476,52,52
8904,73,73
17851,58,58
207,35,35
9925,173,173
7434,47,47
19930,30,30
16585,60,60
12293,43,43
15885,24,24
16464,67,67
10406,54,54
610,71,71
4753,55,55
15256,52,52
14555,166,166
2638,177,177
17348,28,28
16868,59,59
13520,176,176
14507,51,51
9830,49,49
18508,154,154
19160,37,37
2741,41,41
6584,45,45
15009,159,159
3076,70,70
18614,168,168
480,51,51
2623,170,170
2733,46,46
11713,170,170
6201,171,171
13133,38,38
17290,49,49
7804,181,181
12700,158,158
7733,49,49
12949,61,61
10686,51,51
3454,160,160
19680,161,161
5520,159,159
17902,1050,1050
11800,162,162
1281,61,61
13403,44,44
3873,43,43
6141,61,61
4635,174,174
14933,171,171
13962,180,180
11055,167,167
7253,43,43
8696,60,60
1304,56,56
4578,55,55
7907,56,56
3386,157,157
5851,157,157
7986,172,172
1477,46,46
1870,44,44
18999,156,156
14283,168,168
9943,54,54
16789,54,54
16037,50,50
15778,66,66
13546,55,55
7387,158,158
14589,63,63
18905,49,49
9232,158,158
14067,161,161
16846,47,47
15752,56,56
13451,44,44
15536,41,41
16087,148,148
18228,170,170
10070,46,46
18398,53,53
3729,170,170
13003,184,184
13530,45,45
10906,48,48
19804,48,48
19232,43,43
6407,43,43
8372,167,167
4294,61,61
19277,44,44
19879,171,171
3323,46,46
14680,65,65
4954,38,38
4041,38,38
16302,54,54
5732,174,174
7367,38,38
7617,41,41
5123,162,162
19218,69,69
18766,41,41
2181,52,52
12145,42,42
9122,48,48
1556,31,31
6563,1050,1050
16097,54,54
7404,47,47
1328,56,56
12384,168,168
9650,184,184
6427,45,45
8520,41,41
7244,68,68
14740,46,46
12335,163,163
14634,150,150
2135,40,40
3599,162,162
19035,159,159
18011,56,56
16933,183,183
6089,40,40
7671,162,162
7237,61,61
2788,38,38
29,183,183
1368,162,162
5632,49,49
16886,163,163
2474,45,45
2227,61,61
17107,53,53
11181,160,160
9783,175,175
4835,164,164
7887,48,48
11186,160,160
5085,162,162
5420,179,179
9111,175,175
3018,45,45
14965,48,48
3966,40,40
5839,169,169
19755,173,173
500,61,61
18573,156,156
2157,161,161
16913,156,156
9851,162,162
19895,42,42
4085,164,164
18304,55,55
16549,45,45
1693,45,45
14195,48,48
2718,65,65
18925,184,184
1595,42,42
1023,54,54
13368,173,173
8110,47,47
7678,157,157
6610,32,32
3942,39,39
16344,162,162
2039,53,53
3516,164,164
15473,29,29
6735,41,41
4654,51,51
7057,160,160
6369,65,65
18147,48,48
14847,48,48
1217,159,159
7596,39,39
11701,29,29
17681,47,47
18722,47,47
14577,160,160
13130,58,58
10805,47,47
9187,168,168
6963,165,165
15976,157,157
19226,49,49
16012,40,40
8131,166,166
13942,158,158
6075,160,160
17543,41,41
14080,183,183
11938,176,176
5972,30,30
16635,174,174
6417,37,37
9030,166,166
10181,156,156
12029,57,57
17016,41,41
11411,162,162
14977,159,159
15229,44,44
17724,176,176
3771,46,46
5967,40,40
15133,177,177
12275,47,47
7026,169,169
8004,162,162
884,58,58
2709,179,179
18782,49,49
18374,174,174
14237,70,70
3116,172,172
12598,58,58
8907,56,56
4598,44,44
13588,173,173
11717,49,49
265,61,61
8658,38,38
11777,44,44
19162,64,64
9794,171,171
9405,29,29
11030,66,66
1170,65,65
4031,30,30
7825,166,166
15242,37,37
2475,177,177
16715,162,162
15425,180,180
10527,50,50
18466,177,177
17235,41,41
16129,182,182
19125,34,34
15084,48,48
11993,197,197
12565,166,166
11033,50,50
9695,56,56
13270,43,43
3932,43,43
15708,171,171
6874,160,160
16690,32,32
13859,174,174
13978,60,60
2062,63,63
17094,172,172
2398,38,38
3363,160,160
8639,174,174
18921,156,156
4777,54,54
3756,47,47
11427,42,42
2945,174,174
1928,47,47
19349,49,49
7366,46,46
6675,55,55
8799,54,54
16418,45,45
463,58,58
18197,162,162
3897,172,172
209,59,59
5164,40,40
18106,179,179
8381,45,45
15061,153,153
11796,165,165
3522,62,62
11070,60,60
13107,46,46
6205,169,169
7934,39,39
14753,136,136
18218,43,43
14957,41,41
11580,160,160
3862,44,44
12685,162,162
3450,166,166
12373,164,164
18485,179,179
9046,37,37
10546,183,183
14785,50,50
3129,165,165
1356,165,165
1262,61,61
10727,48,48
3996,165,165
15390,41,41
7819,41,41
19678,45,45
17414,39,39
8844,61,61
15429,39,39
6724,56,56
15612,172,172
10291,158,158
2811,51,51
12190,65,65
8018,49,49
11344,51,51
19677,37,37
6931,59,59
12791,53,53
9701,167,167
5418,58,58
16840,47,47
15811,58,58
17718,54,54
17320,49,49
12075,42,42
1920,37,37
6713,34,34
4748,153,153
11583,159,159
11946,61,61
7682,46,46
13655,63,63
11228,50,50
9638,172,172
15456,58,58
15160,46,46
8503,49,49
5697,57,57
5714,57,57
2689,29,29
12802,176,176
10984,42,42
7512,166,166
9535,58,58
10300,35,35
11405,162,162
8447,44,44
1063,41,41
17589,43,43
15909,61,61
17158,95,95
8401,46,46
2211,154,154
3258,62,62
6066,167,167
7816,49,49
4521,170,170
1822,56,56
19844,51,51
10079,158,158
8736,49,49
12741,44,44
10772,40,40
15364,45,45
19172,55,55
8629,50,50
11309,166,166
14398,153,153
14763,150,150
7685,43,43
9745,44,44
16246,47,47
5224,165,165
2618,42,42
1153,42,42
4805,45,45
12037,54,54
17720,169,169
3307,33,33
1338,155,155
13551,167,167
11982,161,161
4830,41,41
3954,175,175
10059,160,160
6209,171,171
9478,43,43
18662,34,34
16834,171,171
10822,45,45
4782,40,40
870,178,178
4678,182,182
15908,157,157
15549,64,64
15257,32,32
5096,43,43
517,44,44
17428,48,48
15679,182,182
14813,35,35
4958,175,175
11614,60,60
9118,44,44
14372,39,39
1716,172,172
1523,163,163
12231,159,159
4045,43,43
19475,49,49
18407,53,53
11802,45,45
11973,64,64
17841,162,162
4370,156,156
12035,41,41
1898,44,44
14924,53,53
19752,161,161
18169,46,46
11037,39,39
911,36,36
6856,43,43
6789,53,53
193,57,57
8831,173,173
15561,47,47
18196,44,44
3110,179,179
3992,46,46
1670,54,54
1336,62,62
6217,186,186
7378,42,42
4153,43,43
19340,44,44
2407,63,63
10374,41,41
19907,161,161
17717,177,177
8132,162,162
9533,53,53
7000,161,161
5078,55,55
6167,37,37
15086,181,181
16616,41,41
5706,185,185
16572,40,40
18221,44,44
19653,176,176
9592,44,44
272,39,39
9774,38,38
409,164,164
12688,173,173
6583,56,56
10016,37,37
9935,172,172
10922,60,60
14155,42,42
9251,236,236
9309,50,50
2138,170,170
13084,51,51
5973,63,63
1194,56,56
155,55,55
1494,174,174
13271,42,42
6949,169,169
6185,33,33
7140,46,46
2308,46,46
2277,152,152
16803,165,165
7104,37,37
8160,157,157
6449,42,42
4902,168,168
16261,59,59
7053,32,32
7341,152,152
8778,43,43
10274,36,36
18978,65,65
15004,25,25
12242,28,28
19600,43,43
17121,166,166
407,53,53
17344,48,48
491,162,162
10808,42,42
7397,59,59
7998,62,62
11358,172,172
8270,46,46
10683,42,42
11207,47,47
692,165,165
1616,39,39
12579,44,44
18712,146,146
17749,45,45
12583,50,50
10809,159,159
15991,43,43
8651,160,160
19092,166,166
5359,161,161
8142,164,164
8596,41,41
778,161,161
6220,166,166
15700,49,49
19446,55,55
7097,38,38
19605,50,50
19784,165,165
6037,173,173
18655,153,153
16736,64,64
17026,46,46
16907,175,175
10860,46,46
5515,51,51
10697,40,40
1810,39,39
11531,48,48
17031,35,35
4924,68,68
18996,61,61
16605,158,158
4307,157,157
4216,156,156
3719,43,43
17583,167,167
17550,52,52
15656,158,158
19046,98,98
235,63,63
16143,51,51
8812,47,47
10424,61,61
8355,167,167
61,172,172
3759,61,61
8640,46,46
4723,42,42
2255,44,44
190,165,165
15910,59,59
3136,42,42
10316,38,38
12518,46,46
18542,38,38
18230,42,42
15052,158,158
14707,167,167
10165,44,44
10067,48,48
19072,38,38
14096,48,48
18944,161,161
5165,161,161
4002,45,45
1223,41,41
5817,164,164
9326,59,59
18931,45,45
18417,152,152
16137,148,148
15417,55,55
16675,58,58
2803,41,41
6381,46,46
8971,46,46
1524,42,42
11991,54,54
18544,151,151
6505,173,173
10769,36,36
14103,42,42
13377,42,42
16225,57,57
24,164,164
18180,60,60
5189,47,47
17270,50,50
10907,49,49
758,59,59
5526,165,165
18303,166,166
18401,41,41
10435,163,163
7884,154,154
3010,168,168
3037,55,55
1553,44,44
1689,53,53
7415,58,58
7304,52,52
2728,48,48
8337,44,44
1774,51,51
19594,30,30
14311,176,176
1628,70,70
1469,161,161
19917,61,61
759,46,46
2699,49,49
194,177,177
17838,168,168
6719,42,42
338,170,170
16593,55,55
9130,175,175
11756,45,45
3279,167,167
16681,59,59
18667,165,165
14467,36,36
7592,63,63
7065,47,47
2080,180,180
10266,54,54
7459,44,44
12859,46,46
19923,46,46
2164,158,158
557,165,165
19671,54,54
14332,58,58
1644,160,160
6620,48,48
18389,50,50
19807,175,175
7130,155,155
891,62,62
13650,37,37
18177,158,158
7420,41,41
11552,38,38
902,42,42
7536,46,46
11997,52,52
1967,157,157
1406,49,49
15751,161,161
4458,162,162
11961,61,61
2128,160,160
9135,166,166
1506,44,44
13775,51,51
9721,40,40
3395,42,42
5116,152,152
1118,173,173
6823,43,43
11166,37,37
10037,164,164
17497,61,61
14587,160,160
16256,45,45
17514,46,46
1679,66,66
7493,159,159
560,48,48
3957,53,53
18503,36,36
15491,51,51
8177,39,39
17745,155,155
13300,22,22
4358,159,159
12998,46,46
3301,46,46
10664,176,176
13036,59,59
3676,69,69
14475,48,48
12838,158,158
13652,41,41
8679,52,52
3856,169,169
14290,159,159
681,62,62
19257,170,170
10306,22,22
4151,36,36
6009,49,49
13379,52,52
18700,42,42
11272,30,30
19702,169,169
3212,163,163
14524,47,47
15544,165,165
14818,52,52
5341,168,168
7218,50,50
6247,162,162
17771,38,38
825,53,53
1575,168,168
4774,149,149
9083,164,164
13139,32,32
11399,37,37
1158,60,60
9603,40,40
128,44,44
6250,41,41
15643,173,173
14627,42,42
19841,168,168
18450,53,53
3653,33,33
5527,32,32
12638,58,58
2377,46,46
15781,170,170
9181,44,44
8348,53,53
7429,42,42
6876,159,159
2795,163,163
7607,161,161
14865,165,165
8254,51,51
3446,156,156
16645,164,164
9872,48,48
5511,39,39
15845,170,170
9523,40,40
2430,53,53
8081,60,60
13071,48,48
16684,175,175
1286,62,62
15673,166,166
8023,48,48
336,159,159
13944,47,47
8093,46,46
8944,40,40
6270,30,30
11431,177,177
3682,185,185
6763,47,47
3457,54,54
12314,165,165
18549,164,164
6462,56,56
9382,33,33
12045,70,70
10114,47,47
6432,174,174
15573,173,173
11577,177,177
9550,174,174
9844,55,55
14175,71,71
11947,83,83
19305,48,48
14211,57,57
11536,39,39
15389,65,65
8215,39,39
18172,45,45
7627,92,92
949,42,42
5877,48,48
11857,46,46
16937,70,70
16518,64,64
15265,44,44
16279,44,44
694,48,48
7364,54,54
8126,42,42
4401,35,35
7662,174,174
13928,49,49
19700,44,44
15746,174,174
2927,48,48
11594,59,59
18638,47,47
17706,179,179
5016,49,49
8164,164,164
2531,54,54
8672,45,45
3170,42,42
12752,153,153
17898,44,44
1609,163,163
15224,57,57
1890,159,159
15013,163,163
10354,37,37
6980,64,64
3147,61,61
7509,165,165
13477,54,54
9503,58,58
18139,270,270
2452,43,43
13964,53,53
19128,39,39
14655,168,168
4064,157,157
18693,43,43
7334,172,172
4221,159,159
4871,55,55
6746,41,41
13508,41,41
3003,158,158
4215,176,176
13604,153,153
6943,64,64
11620,47,47
2425,190,190
16831,42,42
11545,47,47
12675,51,51
11822,37,37
832,42,42
10968,160,160
1339,38,38
9508,163,163
10933,59,59
2748,168,168
10928,155,155
767,163,163
15129,57,57
6306,40,40
11302,1050,1050
11866,36,36
3390,59,59
9571,42,42
17670,60,60
141,56,56
16196,52,52
6332,46,46
8446,171,171
3283,41,41
1305,46,46
13095,46,46
10017,178,178
388,49,49
7355,49,49
16470,43,43
12120,180,180
11082,34,34
6287,52,52
3203,61,61
8766,37,37
14145,56,56
7523,58,58
12356,45,45
18028,172,172
311,46,46
9452,50,50
2240,166,166
17040,158,158
16134,159,159
14212,32,32
15801,57,57
2963,45,45
4330,152,152
6725,54,54
7831,57,57
17233,164,164
8061,57,57
5162,38,38
3288,147,147
10910,62,62
11078,46,46
16247,47,47
5214,181,181
7868,50,50
2082,49,49
18233,48,48
19321,167,167
12433,179,179
16128,53,53
845,156,156
19071,30,30
